key,filename,total_dur,silence_count,silence_index,silence_start,silence_end,silence_dur
h2711,h2711.mp3,7.235875,3,0.0,0.0,0.460136,0.460136
h2711,h2711.mp3,7.235875,3,1.0,2.926984,4.081837,1.154853
h2711,h2711.mp3,7.235875,3,2.0,4.84542,5.974603,1.129184
h2712,h2712.mp3,7.053,3,0.0,0.0,0.562993,0.562993
h2712,h2712.mp3,7.053,3,1.0,2.722426,3.810295,1.087868
h2712,h2712.mp3,7.053,3,2.0,4.642268,5.758889,1.116621
h2713,h2713.mp3,7.392625,3,0.0,0.0,0.569932,0.569932
h2713,h2713.mp3,7.392625,3,1.0,2.996576,4.080454,1.083878
h2713,h2713.mp3,7.392625,3,2.0,4.88449,6.005828,1.121338
h2714,h2714.mp3,7.3665,3,0.0,0.0,0.54746,0.54746
h2714,h2714.mp3,7.3665,3,1.0,2.9322,4.11585,1.183651
h2714,h2714.mp3,7.3665,3,2.0,4.81576,6.09322,1.27746
h2715,h2715.mp3,6.817875,3,0.0,0.0,0.380544,0.380544
h2715,h2715.mp3,6.817875,3,1.0,2.860317,3.992449,1.132132
h2715,h2715.mp3,6.817875,3,2.0,4.525238,5.679048,1.15381
h2716,h2716.mp3,8.0195,3,0.0,0.0,0.563356,0.563356
h2716,h2716.mp3,8.0195,3,1.0,2.964104,4.167551,1.203447
h2716,h2716.mp3,8.0195,3,2.0,5.221293,6.394785,1.173492
h2718,h2718.mp3,7.784375,3,0.0,0.0,0.556213,0.556213
h2718,h2718.mp3,7.784375,3,1.0,3.165147,4.290612,1.125465
h2718,h2718.mp3,7.784375,3,2.0,5.23195,6.30127,1.06932
h2719,h2719.mp3,7.1575,3,0.0,0.0,0.53288,0.53288
h2719,h2719.mp3,7.1575,3,1.0,3.019161,4.118866,1.099705
h2719,h2719.mp3,7.1575,3,2.0,4.760771,5.91907,1.158299
h2720,h2720.mp3,7.340375,3,0.0,0.0,0.559683,0.559683
h2720,h2720.mp3,7.340375,3,1.0,2.768776,3.845941,1.077166
h2720,h2720.mp3,7.340375,3,2.0,4.768435,5.824286,1.05585
h2721,h2721.mp3,7.288125,3,0.0,0.0,0.56229,0.56229
h2721,h2721.mp3,7.288125,3,1.0,3.087324,4.201791,1.114467
h2721,h2721.mp3,7.288125,3,2.0,4.936689,6.055986,1.119297
h2723,h2723.mp3,7.497125,3,0.0,0.0,0.558662,0.558662
h2723,h2723.mp3,7.497125,3,1.0,2.967823,4.085896,1.118073
h2723,h2723.mp3,7.497125,3,2.0,4.912608,6.024127,1.111519
h2724,h2724.mp3,7.732125,3,0.0,0.0,0.540136,0.540136
h2724,h2724.mp3,7.732125,3,1.0,3.07839,4.279796,1.201406
h2724,h2724.mp3,7.732125,3,2.0,5.116417,6.300499,1.184082
h2725,h2725.mp3,8.097875,3,0.0,0.0,0.543719,0.543719
h2725,h2725.mp3,8.097875,3,1.0,3.076372,4.255465,1.179093
h2725,h2725.mp3,8.097875,3,2.0,5.222721,6.443265,1.220544
h2726,h2726.mp3,8.333,3,0.0,0.0,0.548345,0.548345
h2726,h2726.mp3,8.333,3,1.0,3.139932,4.53161,1.391678
h2726,h2726.mp3,8.333,3,2.0,5.536395,6.775692,1.239297
